ID,Idade,Gênero,Estado Civil,Região CEP,Frequência,Faixa Preço,Tipos Vinho,Origens,Comunicação
cmg464u2f0000l5042xdvb7zv,"26 – 35 anos","Prefiro não informar","Casado(a)/em união estável",23,"Quinzenal","R$ 41 – R$ 50","Rosé;Tinto","Chile;França;Portugal","Sim, pode me chamar no WhatsApp"
cmg4736lo0000l604x9zer5gf,"46 – 60 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 81 – R$ 100","Branco;Espumante;Rosé;Tinto","Argentina;Brasil;Chile;Espanha;França;Portugal","Sim, pode me chamar no WhatsApp"
cmg48ks0h0000k104faphmeyb,"46 – 60 anos","Masculino","Casado(a)/em união estável",13,"Uma vez por semana","R$ 51 – R$ 80","Branco;Espumante;Rosé;Tinto","Argentina;Brasil;Chile;Portugal","Sim, pode me chamar no WhatsApp"
cmg5cnnj60000i904kcshjy54,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Raramente","R$ 51 – R$ 80","Branco;Espumante;Rosé","França;Chile;Argentina;Brasil;Portugal","Sim, pode me chamar no WhatsApp"
cmg5cpnim0001i9048ar9nfo6,"46 – 60 anos","Masculino","Casado(a)/em união estável",03,"Uma vez por semana","R$ 81 – R$ 100","Tinto","Argentina;Espanha;França;Brasil;Uruguai","Sim, pode me chamar no WhatsApp"
cmg5cq4hz0002i9048idz87xy,"46 – 60 anos","Feminino","Viúvo(a)",04,"Quinzenal","Até R$ 40","Rosé","Chile;Espanha;Argentina","Sim, pode me chamar no WhatsApp"
cmg5cr4fk0003i904obqi742d,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Uma vez por semana","R$ 51 – R$ 80","Tinto","Argentina","Sim, pode me chamar no WhatsApp"
cmg5cwdty0004i904r8p0fo7k,"36 – 45 anos","Masculino","Casado(a)/em união estável",05,"Raramente","R$ 51 – R$ 80","Tinto","Argentina;Brasil;Chile;Uruguai","Não, obrigado(a)"
cmg5d3p470005i904iea9nxb9,"Acima de 60 anos","Masculino","Casado(a)/em união estável",05,"Uma vez por semana","R$ 41 – R$ 50","Branco","Chile;França","Sim, prefiro por e-mail"
cmg5d4epn0006i9048zlwngau,"46 – 60 anos","Feminino","Casado(a)/em união estável",05,"Uma vez por semana","R$ 81 – R$ 100","Espumante;Tinto","Chile","Sim, prefiro por e-mail"
cmg5d6rv20007i904iy4ivh3z,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Duas vezes por semana","R$ 41 – R$ 50","Rosé","Espanha;Portugal;Argentina;Chile;França;Uruguai","Sim, pode me chamar no WhatsApp"
cmg5d8g370008i904m7w2dnu6,"36 – 45 anos","Feminino","Solteiro(a)",04,"Mensal","R$ 81 – R$ 100","Rosé;Tinto","Chile;Argentina","Sim, prefiro por e-mail"
cmg5d8m8n0009i904kqla8254,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Duas vezes por semana","R$ 41 – R$ 50","Tinto","Chile;Uruguai;Argentina;Brasil","Sim, pode me chamar no WhatsApp"
cmg5d8qf1000ai904lgyrummp,"46 – 60 anos","Masculino","Divorciado(a)",13,"Uma vez por semana","R$ 81 – R$ 100","Tinto","Argentina;Chile;Portugal","Sim, prefiro por e-mail"
cmg5d9etp000bi9046q5b5dtb,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Duas vezes por semana","R$ 51 – R$ 80","Tinto","Brasil;França;Chile","Não, obrigado(a)"
cmg5d9o5t000ci904fbgpai1g,"46 – 60 anos","Masculino","Casado(a)/em união estável",13,"Uma vez por semana","R$ 51 – R$ 80","Tinto","Argentina;Brasil;Chile;Portugal;Uruguai;Espanha;França","Sim, pode me chamar no WhatsApp"
cmg5dibta0000kz04eo61n4hz,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Quinzenal","Até R$ 40","Tinto","Brasil","Sim, prefiro por e-mail"
cmg5dilds0001kz0434d8n9xq,"46 – 60 anos","Masculino","Casado(a)/em união estável",03,"Uma vez por semana","R$ 51 – R$ 80","Tinto","Chile;Brasil;Portugal","Sim, pode me chamar no WhatsApp"
cmg5dk3kj0002kz041ica81mr,"46 – 60 anos","Masculino","Casado(a)/em união estável",03,"Duas vezes por semana","R$ 101 – R$ 200","Tinto","Argentina","Sim, prefiro por e-mail"
cmg5dm9ao0003kz04nckxds0t,"36 – 45 anos","Feminino","Casado(a)/em união estável",04,"Duas vezes por semana","R$ 101 – R$ 200","Tinto","Portugal;França;Espanha","Sim, prefiro por e-mail"
cmg5do9f30004kz04vixbcuib,"46 – 60 anos","Feminino","Casado(a)/em união estável",05,"Uma vez por semana","R$ 81 – R$ 100","Branco;Espumante;Rosé","Argentina;Chile;França;Portugal","Sim, prefiro por e-mail"
cmg5dpbza0005kz04xm12ucse,"46 – 60 anos","Masculino","Casado(a)/em união estável",13,"Quinzenal","R$ 81 – R$ 100","Tinto","Argentina;Brasil;Chile;Espanha;Portugal;Uruguai","Sim, prefiro por e-mail"
cmg5dseyh0006kz04xy183nc1,"36 – 45 anos","Masculino","Casado(a)/em união estável",09,"Mensal","R$ 51 – R$ 80","Tinto","Brasil;Chile;Portugal;Argentina","Não, obrigado(a)"
cmg5dside0007kz04mt1ra1q6,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Duas vezes por semana","R$ 101 – R$ 200","Branco;Rosé;Tinto","Argentina;Espanha;Portugal;Chile","Sim, pode me chamar no WhatsApp"
cmg5e119v0000l504lwkukux3,"26 – 35 anos","Masculino","Solteiro(a)",03,"Quinzenal","R$ 41 – R$ 50","Branco;Espumante;Rosé;Tinto","Argentina;Brasil;Chile;Espanha;França;Portugal;Uruguai","Sim, prefiro por e-mail"
cmg5e21jb0001l504x4kn4xj5,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Uma vez por semana","R$ 101 – R$ 200","Tinto","Argentina;Portugal;Chile","Não, obrigado(a)"
cmg5e31tn0002l5049ws1ndvr,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Duas vezes por semana","R$ 101 – R$ 200","Tinto","Argentina;Chile;Portugal;França","Sim, pode me chamar no WhatsApp"
cmg5e4jyr0003l5046ye0e3ps,"46 – 60 anos","Masculino","Solteiro(a)",05,"Quinzenal","R$ 81 – R$ 100","Tinto","Espanha;França;Chile;Brasil","Sim, pode me chamar no WhatsApp"
cmg5e8t3w0004l504cn599gqt,"Acima de 60 anos","Feminino","Casado(a)/em união estável",04,"Quinzenal","R$ 51 – R$ 80","Espumante;Tinto","Chile;Argentina","Sim, prefiro por e-mail"
cmg5e9h5m0005l504akgxzzuu,"46 – 60 anos","Masculino","Casado(a)/em união estável",01,"Uma vez por semana","Acima de R$ 200","Tinto","Chile","Sim, pode me chamar no WhatsApp"
cmg5egeva0006l504kru5id3e,"36 – 45 anos","Feminino","Solteiro(a)",09,"Raramente","R$ 81 – R$ 100","Espumante;Tinto","Chile","Não, obrigado(a)"
cmg5g1zxa0000jx04vemq51om,"46 – 60 anos","Masculino","Casado(a)/em união estável",13,"Uma vez por semana","R$ 51 – R$ 80","Tinto","França","Não, obrigado(a)"
cmg5ga9j40000i904x7n0yb61,"46 – 60 anos","Masculino","Casado(a)/em união estável",13,"Raramente","R$ 51 – R$ 80","Espumante","Brasil","Não, obrigado(a)"
cmg5gtwm90000l2042x0o9bta,"46 – 60 anos","Masculino","Solteiro(a)",13,"Uma vez por semana","R$ 101 – R$ 200","Tinto","Argentina;Chile;Portugal","Sim, prefiro por e-mail"
cmg5gy9en0001l2048sck85gy,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Uma vez por semana","R$ 101 – R$ 200","Tinto","Argentina;Chile;Espanha;França;Portugal;Uruguai;Outros","Não, obrigado(a)"
cmg5h0szj0002l20442186c6d,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Quinzenal","R$ 51 – R$ 80","Tinto","Argentina;Chile;Portugal;França","Sim, pode me chamar no WhatsApp"
cmg5jm6sy0000jr04mqxj1v24,"36 – 45 anos","Masculino","Casado(a)/em união estável",04,"Raramente","Até R$ 40","Tinto","Argentina;Chile;Portugal","Não, obrigado(a)"
cmg5lb1q90000i804dks6yfvm,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Duas vezes por semana","R$ 81 – R$ 100","Tinto","Chile;Portugal;Brasil","Sim, pode me chamar no WhatsApp"
cmg5mv3p80000k004i57m9bhq,"36 – 45 anos","Feminino","Casado(a)/em união estável",04,"Uma vez por semana","R$ 51 – R$ 80","Rosé","Portugal;Brasil;Argentina","Sim, pode me chamar no WhatsApp"
cmg5o3d5c0000jp040k4kyq97,"Acima de 60 anos","Masculino","Casado(a)/em união estável",01,"Duas vezes por semana","R$ 81 – R$ 100","Tinto","Chile;França;Uruguai","Sim, prefiro por e-mail"
cmg5okwli0000lg04ugx7hhon,"46 – 60 anos","Masculino","Casado(a)/em união estável",13,"Uma vez por semana","Até R$ 40","Tinto","Chile","Não, obrigado(a)"
cmg5rizov0000ju04bz5j71ks,"36 – 45 anos","Masculino","Casado(a)/em união estável",01,"Quinzenal","R$ 41 – R$ 50","Tinto","Chile;Brasil;Argentina","Sim, pode me chamar no WhatsApp"
cmg5s0o3v0000jr04q7f7wpni,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 51 – R$ 80","Tinto","Argentina;Chile","Sim, prefiro por e-mail"
cmg5tyt7z0000lb04gywm7oqr,"36 – 45 anos","Masculino","Casado(a)/em união estável",06,"Uma vez por semana","R$ 51 – R$ 80","Tinto","Argentina;Chile;França;Portugal","Sim, pode me chamar no WhatsApp"
cmg5vwqeu0000js04q2axcr3v,"46 – 60 anos","Masculino","Casado(a)/em união estável",04,"Uma vez por semana","R$ 51 – R$ 80","Tinto","Argentina;Chile;Brasil","Sim, prefiro por e-mail"
cmg5ykibn0000js04chdx4i32,"46 – 60 anos","Masculino","Divorciado(a)",03,"Raramente","R$ 51 – R$ 80","Branco;Espumante","Outros","Sim, prefiro por e-mail"
cmg6koiii0000la041ln0mavc,"46 – 60 anos","Masculino","Casado(a)/em união estável",03,"Quinzenal","Até R$ 40","Tinto","Brasil","Sim, pode me chamar no WhatsApp"
cmg8bdm3u0000l204shtjvu6l,"46 – 60 anos","Feminino","Divorciado(a)",13,"Uma vez por semana","R$ 51 – R$ 80","Branco;Espumante;Rosé","França;Chile","Sim, pode me chamar no WhatsApp"
cmg8mykwl0000l704ctamx09m,"46 – 60 anos","Feminino","Divorciado(a)",13,"Duas vezes por semana","R$ 101 – R$ 200","Tinto","Argentina;Chile","Sim, prefiro por e-mail"
cmg8mzg9b0001l70452a19qid,"26 – 35 anos","Feminino","Solteiro(a)",13,"Mensal","R$ 81 – R$ 100","Tinto","Argentina;Chile;Portugal","Não, obrigado(a)"
cmg8n2ymc0002l704kdbv3iis,"46 – 60 anos","Masculino","Divorciado(a)",13,"Duas vezes por semana","Até R$ 40","Tinto","Argentina;Chile;Espanha;França;Portugal","Sim, prefiro por e-mail"
cmg8n42oj0003l704b6aaaqr8,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 51 – R$ 80","Rosé","Chile;Portugal","Sim, prefiro por e-mail"
cmg8n4ulr0004l704qyu0n0ch,"46 – 60 anos","Feminino","Divorciado(a)",13,"Duas vezes por semana","R$ 51 – R$ 80","Tinto","Chile;Argentina;Portugal","Sim, pode me chamar no WhatsApp"
cmg8n52pw0005l704la5kkhdm,"36 – 45 anos","Masculino","Casado(a)/em união estável",13,"Uma vez por semana","R$ 41 – R$ 50","Branco;Rosé;Tinto","Brasil;Portugal;Chile","Sim, prefiro por e-mail"
cmg8n6bic0006l70457frz21d,"26 – 35 anos","Feminino","Casado(a)/em união estável",13,"Uma vez por semana","R$ 51 – R$ 80","Branco","Brasil;Argentina;Chile","Sim, pode me chamar no WhatsApp"
cmg8n71yu0007l704uzyc3d6j,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 51 – R$ 80","Espumante;Rosé;Tinto","Chile;Argentina;Espanha;França;Portugal;Brasil","Sim, pode me chamar no WhatsApp"
cmg8n859x0008l704hydugczx,"36 – 45 anos","Masculino","Divorciado(a)",13,"Duas vezes por semana","Até R$ 40","Tinto","Argentina;Chile;Espanha;Outros","Não, obrigado(a)"
cmg8na2er0009l7048crl6lt9,"Acima de 60 anos","Masculino","Casado(a)/em união estável",13,"Quinzenal","R$ 41 – R$ 50","Espumante;Tinto","Chile;Outros;Argentina;Brasil","Sim, prefiro por e-mail"
cmg8ncuru000al7047j15w572,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Mensal","Até R$ 40","Tinto","Brasil","Sim, pode me chamar no WhatsApp"
cmg8nes7f000bl704zte95co5,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 41 – R$ 50","Branco;Tinto","Espanha;França;Portugal;Uruguai;Chile;Argentina;Brasil","Sim, prefiro por e-mail"
cmg8nkh5z000cl704o1r7vger,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Mensal","R$ 51 – R$ 80","Tinto","Portugal;Chile;Brasil;Uruguai","Não, obrigado(a)"
cmg8nlriu000dl704iclsj38t,"36 – 45 anos","Feminino","Solteiro(a)",13,"Duas vezes por semana","R$ 81 – R$ 100","Tinto","Argentina;Chile;Brasil","Sim, pode me chamar no WhatsApp"
cmg8nnvtm000el70454pg9z6o,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 41 – R$ 50","Tinto","Brasil;Chile;Argentina","Sim, pode me chamar no WhatsApp"
cmg8ns13d000fl704t8lslbww,"26 – 35 anos","Feminino","Solteiro(a)",13,"Quinzenal","R$ 51 – R$ 80","Tinto","Brasil","Sim, pode me chamar no WhatsApp"
cmg8ntazh000gl704atqff9im,"36 – 45 anos","Masculino","Casado(a)/em união estável",13,"Mensal","R$ 81 – R$ 100","Tinto","Argentina;Chile","Sim, pode me chamar no WhatsApp"
cmg8nvo9g000hl704fcnch4wz,"46 – 60 anos","Feminino","Casado(a)/em união estável",13,"Uma vez por semana","R$ 41 – R$ 50","Tinto","Portugal","Sim, pode me chamar no WhatsApp"
cmg8o078a000il704jfirszuk,"Acima de 60 anos","Masculino","Casado(a)/em união estável",13,"Quinzenal","R$ 51 – R$ 80","Tinto","Argentina","Sim, prefiro por e-mail"
cmg8ocolx0000ie04lkxxh3lx,"36 – 45 anos","Feminino","Solteiro(a)",13,"Quinzenal","R$ 41 – R$ 50","Branco","Argentina;Portugal;França","Sim, prefiro por e-mail"
cmg8oy5wa0000lg04ny5xpuec,"36 – 45 anos","Feminino","Casado(a)/em união estável",13,"Duas vezes por semana","R$ 41 – R$ 50","Espumante;Tinto","Espanha;França;Portugal","Sim, pode me chamar no WhatsApp"